m000,m001,m003,m004,m005,m006,m007,m009,m010,m012,m013,m014,m015,m016,m017,m018,m019,m020,m022,m023,m024,m025,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m040,m041,m042,m044,m045,m046,m047,m049,m051,m052,m053,m054,m055,m056,m057,m059,m061,m062,m063
17.813068,14.028669,15.434905,21.738562,15.678223,15.1212435,26.58572,14.929642,15.924412,15.188206,15.604261,15.296791,17.096268,14.443281,15.394012,16.767708,15.8881235,44.613144,15.581054,14.7270355,14.996918,11.664157,16.873392,13.75186,15.561251,15.879015,14.569155,18.086018,14.537889,17.047272,14.382683,14.814934,14.437242,14.613508,14.555255,15.6431675,14.075776,12.159597,15.282982,16.547737,16.129967,16.61384,18.499546,13.849306,14.541973,14.139107,14.482697,16.801207,13.801472,12.462607,15.233237,15.520415,14.436713
17.81567,14.03394,15.438099,21.734558,15.678099,15.121019,26.593882,14.939827,15.923735,15.19474,15.6133995,15.306527,17.091171,14.446913,15.395096,16.77774,15.898597,44.6309,15.586727,14.732354,15.001419,11.664126,16.879673,13.756394,15.561853,15.890232,14.577505,18.098473,14.540165,17.052887,14.382422,14.817638,14.440262,14.618237,14.557376,15.645041,14.074694,12.162689,15.291422,16.556013,16.136517,16.612682,18.502285,13.847732,14.544076,14.136467,14.48477,16.807432,13.806031,12.466731,15.232119,15.536459,14.443989
17.824596,14.041253,15.442317,21.751059,15.677668,15.119682,26.595694,14.945504,15.9289665,15.198995,15.624277,15.308575,17.097858,14.45163,15.397249,16.780663,15.900394,44.640884,15.590205,14.7346,14.997263,11.667952,16.878036,13.756626,15.569504,15.894775,14.57612,18.107077,14.541355,17.066038,14.384304,14.81686,14.43709,14.622165,14.562912,15.645346,14.076115,12.161358,15.29328,16.554232,16.143425,16.620962,18.50724,13.857506,14.549053,14.140921,14.496059,16.818441,13.809402,12.464461,15.241592,15.543397,14.447512
17.830503,14.04697,15.446679,21.751347,15.674728,15.125477,26.600334,14.95141,15.933908,15.199478,15.625102,15.314302,17.102562,14.460625,15.405377,16.782188,15.906071,44.637123,15.593216,14.737457,15.006154,11.66905,16.881783,13.762476,15.575829,15.896624,14.573456,18.111738,14.551573,17.06662,14.386314,14.825954,14.441698,14.621899,14.569757,15.651677,14.0808115,12.168917,15.294779,16.559479,16.146921,16.624432,18.516705,13.863798,14.550938,14.138336,14.502237,16.806267,13.817009,12.465373,15.237924,15.547977,14.452335
17.833887,14.052634,15.449385,21.761477,15.676584,15.126217,26.6176,14.954201,15.938585,15.204531,15.62985,15.320444,17.108067,14.464382,15.411055,16.784681,15.916463,44.63641,15.595634,14.739162,15.01079,11.668568,16.886457,13.767412,15.580549,15.903046,14.567059,18.120884,14.551014,17.065443,14.385037,14.8332615,14.441889,14.62426,14.573254,15.662753,14.088472,12.167106,15.300148,16.55478,16.150602,16.63941,18.519127,13.865139,14.564373,14.141294,14.509823,16.815853,13.829466,12.471493,15.246634,15.550441,14.460955
17.843018,14.053001,15.456112,21.769001,15.686176,15.128073,26.632366,14.959274,15.932749,15.213778,15.622858,15.319887,17.115107,14.469353,15.41124,16.788261,15.92337,44.641846,15.596761,14.740156,15.023964,11.670774,16.880646,13.772196,15.574353,15.916287,14.558448,18.127724,14.5593405,17.059612,14.392635,14.829513,14.452183,14.62476,14.575905,15.6675205,14.099424,12.171019,15.300102,16.569975,16.153505,16.634535,18.520603,13.863392,14.572645,14.143694,14.513962,16.824888,13.837348,12.469231,15.25006,15.551104,14.464787
17.848896,14.0484085,15.456936,21.78207,15.688139,15.131832,26.64114,14.964119,15.930904,15.216036,15.61307,15.319893,17.116379,14.473773,15.407373,16.78865,15.925519,44.62178,15.591181,14.744442,15.037222,11.667978,16.883112,13.776733,15.576249,15.91066,14.561722,18.119026,14.567829,17.055916,14.393104,14.844005,14.455366,14.626993,14.567812,15.679473,14.099262,12.171419,15.310114,16.57222,16.150751,16.642775,18.521572,13.870277,14.579258,14.1449375,14.521075,16.835247,13.838294,12.466497,15.25868,15.549376,14.461596
17.843653,14.045564,15.462337,21.782978,15.686672,15.134565,26.645866,14.967546,15.927112,15.222139,15.605238,15.320042,17.115677,14.482117,15.40464,16.780186,15.932275,44.62762,15.597541,14.747513,15.04846,11.668966,16.883394,13.775877,15.575869,15.9122715,14.554758,18.12857,14.575348,17.045418,14.392601,14.852896,14.460942,14.62678,14.570473,15.680939,14.105145,12.175018,15.318811,16.579842,16.153538,16.641659,18.536192,13.871349,14.586846,14.14691,14.525213,16.841043,13.83961,12.464365,15.258866,15.542299,14.455526
17.833542,14.044939,15.466293,21.792057,15.690449,15.138885,26.65218,14.968114,15.931488,15.222035,15.605178,15.31847,17.12078,14.484192,15.404707,16.779356,15.935308,44.62953,15.588858,14.743772,15.055902,11.670633,16.888828,13.77648,15.583681,15.915503,14.553986,18.137266,14.580406,17.039154,14.394609,14.85962,14.462856,14.624892,14.569617,15.687486,14.11554,12.177008,15.321588,16.58187,16.154488,16.639805,18.533516,13.869826,14.590969,14.150848,14.527042,16.84835,13.839836,12.466738,15.254005,15.5373535,14.447405
17.82946,14.04767,15.47146,21.794384,15.694857,15.133275,26.66027,14.969433,15.937874,15.220774,15.595184,15.319967,17.123676,14.490584,15.40244,16.774284,15.932188,44.636364,15.588101,14.740547,15.069778,11.67349,16.887842,13.77726,15.5771,15.914242,14.560457,18.14312,14.5856285,17.031872,14.392879,14.859268,14.460301,14.627442,14.571014,15.684397,14.120274,12.177891,15.321955,16.579319,16.15869,16.641003,18.532055,13.87019,14.594269,14.154652,14.537302,16.846157,13.842045,12.461319,15.253407,15.538805,14.445683
